director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Renny Harlin,Taylor Cole,Ashley Scott,Nick Gomez,Action Crime Thriller,12 rounds,Renny Harlin Taylor Cole Ashley Scott Nick Gomez Action Crime Thriller
Matt Reeves,Chloë Grace Moretz,Dylan Minnette,Kodi Smit-McPhee,Drama Fantasy Horror Mystery,let me in,Matt Reeves Chloë Grace Moretz Dylan Minnette Kodi Smit-McPhee Drama Fantasy Horror Mystery
Charles T. Kanganis,Victor Wong,Dustin Nguyen,Don Stark,Action Comedy Family,3 ninjas kick back,Charles T. Kanganis Victor Wong Dustin Nguyen Don Stark Action Comedy Family
Michel Gondry,Quinton Aaron,Mia Farrow,Melonie Diaz,Comedy,be kind rewind,Michel Gondry Quinton Aaron Mia Farrow Melonie Diaz Comedy
Stephen Frears,Bob Hoskins,Christopher Guest,Sarah Solemani,Comedy Drama Music War,mrs henderson presents,Stephen Frears Bob Hoskins Christopher Guest Sarah Solemani Comedy Drama Music War
John Hillcoat,Kate Winslet,Norman Reedus,Clifton Collins Jr.,Action Crime Drama Thriller,triple 9,John Hillcoat Kate Winslet Norman Reedus Clifton Collins Jr. Action Crime Drama Thriller
Woody Allen,Woody Allen,Lynn Cohen,Judy Davis,Comedy,deconstructing harry,Woody Allen Woody Allen Lynn Cohen Judy Davis Comedy
Damon Santostefano,Matthew Perry,Oliver Platt,David Ramsey,Comedy Romance,three to tango,Damon Santostefano Matthew Perry Oliver Platt David Ramsey Comedy Romance
John Wells,Bradley Cooper,Omar Sy,Riccardo Scamarcio,Comedy Drama,burnt,John Wells Bradley Cooper Omar Sy Riccardo Scamarcio Comedy Drama
Neil Jordan,Robert De Niro,Demi Moore,James Russo,Comedy Crime,we're no angels,Neil Jordan Robert De Niro Demi Moore James Russo Comedy Crime
Woody Allen,Natasha Lyonne,Gaby Hoffmann,Jeff DeRocker,Comedy Musical Romance,everyone says i love you,Woody Allen Natasha Lyonne Gaby Hoffmann Jeff DeRocker Comedy Musical Romance
Frank Oz,Peter Dinklage,Ewen Bremner,Kris Marshall,Comedy,death at a funeral,Frank Oz Peter Dinklage Ewen Bremner Kris Marshall Comedy
James Wan,Aisha Tyler,Kelly Preston,Edi Gathegi,Action Crime Thriller,death sentence,James Wan Aisha Tyler Kelly Preston Edi Gathegi Action Crime Thriller
Kirk Jones,Robert De Niro,James Frain,Brendan Sexton III,Adventure Drama,everybody's fine,Kirk Jones Robert De Niro James Frain Brendan Sexton III Adventure Drama
Bob Clark,Scott Baio,Vanessa Angel,Peter Wingfield,Comedy Family Sci-Fi,superbabies: baby geniuses 2,Bob Clark Scott Baio Vanessa Angel Peter Wingfield Comedy Family Sci-Fi
Les Mayfield,Callum Rennie,Will Patton,Cedric the Entertainer,Action Comedy Crime,code name: the cleaner,Les Mayfield Callum Rennie Will Patton Cedric the Entertainer Action Comedy Crime
Michael Lembeck,Debbie Reynolds,Nia Vardalos,Dash Mihok,Comedy Crime Music,connie and carla,Michael Lembeck Debbie Reynolds Nia Vardalos Dash Mihok Comedy Crime Music
Bob Fosse,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,Comedy Drama Music Musical Romance,sweet charity,Bob Fosse Sammy Davis Jr. Ricardo Montalban Ben Vereen Comedy Drama Music Musical Romance
Paul Thomas Anderson,Martin Dew,Katherine Waterston,Serena Scott Thomas,Comedy Crime Drama Mystery Romance,inherent vice,Paul Thomas Anderson Martin Dew Katherine Waterston Serena Scott Thomas Comedy Crime Drama Mystery Romance
Dave Borthwick,Jimmy Fallon,Kylie Minogue,Jon Stewart,Adventure Animation Comedy Family Fantasy,doogal,Dave Borthwick Jimmy Fallon Kylie Minogue Jon Stewart Adventure Animation Comedy Family Fantasy
Benson Lee,Chris Brown,Caity Lotz,Laz Alonso,Drama Music,battle of the year,Benson Lee Chris Brown Caity Lotz Laz Alonso Drama Music
Unknown,LeVar Burton,Eric McCormack,Scott Wolf,Crime Drama Mystery Thriller,perception            ,Unknown LeVar Burton Eric McCormack Scott Wolf Crime Drama Mystery Thriller
David Zucker,Chriss Anglin,Geoffrey Arend,Gary Coleman,Comedy Fantasy,an american carol,David Zucker Chriss Anglin Geoffrey Arend Gary Coleman Comedy Fantasy
Robert Rodriguez,Alexa PenaVega,Demián Bichir,Marko Zaror,Action Comedy Crime Thriller,machete kills,Robert Rodriguez Alexa PenaVega Demián Bichir Marko Zaror Action Comedy Crime Thriller
Glen Morgan,Laura Harring,Ty Olsson,Jackie Burroughs,Drama Horror Sci-Fi Thriller,willard,Glen Morgan Laura Harring Ty Olsson Jackie Burroughs Drama Horror Sci-Fi Thriller
Fred Wolf,Kevin Alejandro,Ashley Scott,Jeff Garlin,Adventure Comedy,strange wilderness,Fred Wolf Kevin Alejandro Ashley Scott Jeff Garlin Adventure Comedy
Mike Leigh,Jim Broadbent,Dexter Fletcher,Lesley Manville,Biography Comedy Drama History Music Musical,topsy-turvy,Mike Leigh Jim Broadbent Dexter Fletcher Lesley Manville Biography Comedy Drama History Music Musical
Alejandro Monteverde,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,Drama War,little boy,Alejandro Monteverde Tom Wilkinson Cary-Hiroyuki Tagawa Michael Rapaport Drama War
David Cronenberg,Michael Fassbender,Viggo Mortensen,Sarah Gadon,Biography Drama Thriller,a dangerous method,David Cronenberg Michael Fassbender Viggo Mortensen Sarah Gadon Biography Drama Thriller
Richard Linklater,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,Animation Drama Mystery Sci-Fi Thriller,a scanner darkly,Richard Linklater Robert Downey Jr. Keanu Reeves Rory Cochrane Animation Drama Mystery Sci-Fi Thriller
Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,Biography Drama Sport,chasing mavericks,Michael Apted Gerard Butler Abigail Spencer Leven Rambin Biography Drama Sport
Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,Horror Sci-Fi,alone in the dark,Uwe Boll Catherine Lough Haggquist Darren Shahlavi Karin Konoval Horror Sci-Fi
Todd Graff,Scott Porter,Charlie Saxton,Ryan Donowho,Comedy Drama Family Music Romance,bandslam,Todd Graff Scott Porter Charlie Saxton Ryan Donowho Comedy Drama Family Music Romance
Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,Drama Mystery Romance Thriller,birth,Jonathan Glazer Cameron Bright Anne Heche Danny Huston Drama Mystery Romance Thriller
J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,Action Crime Drama Thriller,a most violent year,J.C. Chandor David Oyelowo Ashley Williams Albert Brooks Action Crime Drama Thriller
Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,Drama History Romance War,passchendaele,Paul Gross Landon Liboiron Michael Greyeyes Caroline Dhavernas Drama History Romance War
Marc Abraham,Dylan Authors,Bill Lake,Victoria Learn,Biography Drama,flash of genius,Marc Abraham Dylan Authors Bill Lake Victoria Learn Biography Drama
Todd Haynes,Christian Bale,Heath Ledger,Tyrone Benskin,Biography Drama Music,i'm not there.,Todd Haynes Christian Bale Heath Ledger Tyrone Benskin Biography Drama Music
Mabrouk El Mechri,Henry Cavill,Bruce Willis,Óscar Jaenada,Action Thriller,the cold light of day,Mabrouk El Mechri Henry Cavill Bruce Willis Óscar Jaenada Action Thriller
Rian Johnson,Zachary Gordon,Maximilian Schell,Nora Zehetner,Adventure Comedy Drama Romance,the brothers bloom,Rian Johnson Zachary Gordon Maximilian Schell Nora Zehetner Adventure Comedy Drama Romance
Charlie Kaufman,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,Comedy Drama Romance,"synecdoche, new york",Charlie Kaufman Philip Seymour Hoffman Jennifer Jason Leigh Samantha Morton Comedy Drama Romance
Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,Adventure Animation Fantasy,princess mononoke,Hayao Miyazaki Minnie Driver Jada Pinkett Smith Billy Crudup Adventure Animation Fantasy
Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,Comedy Drama Mystery Romance Thriller War,bon voyage,Jean-Paul Rappeneau Isabelle Adjani Peter Coyote Virginie Ledoyen Comedy Drama Mystery Romance Thriller War
Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,Biography Comedy Musical,can't stop the music,Nancy Walker Steve Guttenberg Randy Jones Caitlyn Jenner Biography Comedy Musical
John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,Crime Drama Western,the proposition,John Hillcoat Ray Winstone Noah Taylor Danny Huston Crime Drama Western
Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,Biography Drama Sport,courage,Angelo Pizzo Donny Boaz Finn Wittrock Brent Anderson Biography Drama Sport
Richard Benjamin,Damon Wayans,Jane Krakowski,Paula Garcés,Comedy Music,marci x,Richard Benjamin Damon Wayans Jane Krakowski Paula Garcés Comedy Music
Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee,Action Drama Sci-Fi Thriller,equilibrium,Kurt Wimmer Christian Bale Emily Watson Sean Pertwee Action Drama Sci-Fi Thriller
Roger Spottiswoode,Radha Mitchell,Guang Li,Matthew Walker,Drama War,the children of huang shi,Roger Spottiswoode Radha Mitchell Guang Li Matthew Walker Drama War
James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,Crime Drama Romance Thriller,the yards,James Gray Charlize Theron Ellen Burstyn Faye Dunaway Crime Drama Romance Thriller
Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,Adventure Family Fantasy Musical,the oogieloves in the big balloon adventure,Matthew Diamond Chazz Palminteri Garrett Clayton Toni Braxton Adventure Family Fantasy Musical
Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,Drama Romance,by the sea,Angelina Jolie Pitt Brad Pitt Angelina Jolie Pitt Melvil Poupaud Drama Romance
Katsuhiro Ôtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,Action Adventure Animation Family Sci-Fi Thriller,steamboy,Katsuhiro Ôtomo William Hootkins Robin Atkin Downes Rosalind Ayres Action Adventure Animation Family Sci-Fi Thriller
David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,Drama History Sport,the game of their lives,David Anspaugh Gerard Butler Costas Mandylor Jimmy Jean-Louis Drama History Sport
Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,Crime Drama Mystery Romance Thriller,all good things,Andrew Jarecki Ryan Gosling Kirsten Dunst Frank Langella Crime Drama Mystery Romance Thriller
Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,Action Adventure Drama History Romance,rapa nui,Kevin Reynolds Esai Morales Jason Scott Lee Sandrine Holt Action Adventure Drama History Romance
Stephen Chow,Jiao Xu,Yuqi Zhang,Chi Chung Lam,Comedy Family Sci-Fi,cj7,Stephen Chow Jiao Xu Yuqi Zhang Chi Chung Lam Comedy Family Sci-Fi
Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,Comedy Family Fantasy Sci-Fi,les couloirs du temps: les visiteurs ii,Jean-Marie Poiré Christian Clavier Philippe Nahon Marie-Anne Chazel Comedy Family Fantasy Sci-Fi
Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,dylan dog: dead of night,Kevin Munroe Marco St. John Laura Spencer Anita Briem Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller
Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,Crime Drama Mystery,people i know,Daniel Algrant Al Pacino Richard Schiff Mark Webber Crime Drama Mystery
Unknown,Peter Vaughan,George Coulouris,Ewen Solon,Drama Family,the doombolt chase            ,Unknown Peter Vaughan George Coulouris Ewen Solon Drama Family
Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,Comedy Drama Fantasy Romance,the tempest,Julie Taymor Djimon Hounsou Reeve Carney Tom Conti Comedy Drama Fantasy Romance
Alejandro Amenábar,Emma Watson,Aaron Ashmore,Julian Richings,Crime Drama Mystery Thriller,regression,Alejandro Amenábar Emma Watson Aaron Ashmore Julian Richings Crime Drama Mystery Thriller
Jane Clark,Necar Zadegan,Traci Dinwiddie,Elea Oberon,Romance Short,the touch,Jane Clark Necar Zadegan Traci Dinwiddie Elea Oberon Romance Short
Daniel Lee,Andy Lau,Sammo Kam-Bo Hung,Andy On,Action Drama History War,three kingdoms: resurrection of the dragon,Daniel Lee Andy Lau Sammo Kam-Bo Hung Andy On Action Drama History War
Mike Barker,Gerard Butler,Nicholas Lea,Callum Rennie,Crime Drama Thriller,shattered,Mike Barker Gerard Butler Nicholas Lea Callum Rennie Crime Drama Thriller
Wayne Thornley,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,Adventure Animation Comedy Family,zambezia,Wayne Thornley Leonard Nimoy Phil LaMarr Noureen DeWulf Adventure Animation Comedy Family
Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,Biography Drama History,ramanujan,Gnana Rajasekaran Mani Bharathi Michael Lieber Kevin McGowan Biography Drama History
Tom Walsh,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,Animation,dwegons and leprechauns,Tom Walsh Joey D. Vieira Maggie Wheeler Jacqueline Lovell Animation
Jonathan Jakubowicz,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,Action Biography Drama Sport,hands of stone,Jonathan Jakubowicz Robert De Niro Jurnee Smollett-Bell Edgar Ramírez Action Biography Drama Sport
James McTeigue,Milla Jovovich,Roger Rees,Robert Forster,Action Crime Thriller,survivor,James McTeigue Milla Jovovich Roger Rees Robert Forster Action Crime Thriller
Scott Walker,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,Crime Drama Mystery Thriller,the frozen ground,Scott Walker Nicolas Cage Radha Mitchell Jodi Lyn O'Keefe Crime Drama Mystery Thriller
John Curran,Toby Jones,Sally Hawkins,Alan David,Drama Romance,the painted veil,John Curran Toby Jones Sally Hawkins Alan David Drama Romance
Uli Edel,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,Action Biography Crime Drama,the baader meinhof complex,Uli Edel Moritz Bleibtreu Alexandra Maria Lara Martina Gedeck Action Biography Crime Drama
Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin,Adventure Drama Western,dances with wolves,Kevin Costner Mary McDonnell Michael Spears Maury Chaykin Adventure Drama Western
Jake Kasdan,Justin Timberlake,John Michael Higgins,Phyllis Smith,Comedy,bad teacher,Jake Kasdan Justin Timberlake John Michael Higgins Phyllis Smith Comedy
Harold Becker,Al Pacino,Michael O'Neill,Ellen Barkin,Crime Drama Mystery Thriller,sea of love,Harold Becker Al Pacino Michael O'Neill Ellen Barkin Crime Drama Mystery Thriller
Mark Rosman,Dan Byrd,Lin Shaye,Julie Gonzalo,Comedy Family Romance,a cinderella story,Mark Rosman Dan Byrd Lin Shaye Julie Gonzalo Comedy Family Romance
Wes Craven,David Arquette,W. Earl Brown,Roger Jackson,Horror Mystery,scream,Wes Craven David Arquette W. Earl Brown Roger Jackson Horror Mystery
Steve Beck,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,Horror,thir13en ghosts,Steve Beck Shannon Elizabeth Embeth Davidtz F. Murray Abraham Horror
Stanley Kubrick,Scatman Crothers,Shelley Duvall,Joe Turkel,Drama Horror,the shining,Stanley Kubrick Scatman Crothers Shelley Duvall Joe Turkel Drama Horror
Robert Zemeckis,Lea Thompson,Thomas F. Wilson,J.J. Cohen,Adventure Comedy Sci-Fi,back to the future,Robert Zemeckis Lea Thompson Thomas F. Wilson J.J. Cohen Adventure Comedy Sci-Fi
William Malone,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,Horror Mystery Thriller,house on haunted hill,William Malone Jeffrey Combs Peter Gallagher Bridgette Wilson-Sampras Horror Mystery Thriller
Tyler Perry,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,Comedy Drama,i can do bad all by myself,Tyler Perry Eric Mendenhall Mary J. Blige Hope Olaide Wilson Comedy Drama
Rob Hawk,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,Action Drama,fight valley,Rob Hawk Kari J. Kramer Erin O'Brien Cabrina Collesides Action Drama
Josh Gordon,Caroline Dhavernas,Scott Elrod,Kelli Barrett,Comedy Drama Romance,the switch,Josh Gordon Caroline Dhavernas Scott Elrod Kelli Barrett Comedy Drama Romance
Shawn Levy,Taran Killam,David Agranov,David Moscow,Comedy Romance,just married,Shawn Levy Taran Killam David Agranov David Moscow Comedy Romance
Lee Tamahori,Mem Ferda,Dominic Cooper,Ludivine Sagnier,Biography Drama Thriller,the devil's double,Lee Tamahori Mem Ferda Dominic Cooper Ludivine Sagnier Biography Drama Thriller
Unknown,Nicole 'Snooki' Polizzi,Jenni 'Jwoww' Farley,Paul 'Pauly D' DelVecchio,Comedy Drama Reality-TV Romance,"gone, baby, gone            ",Unknown Nicole 'Snooki' Polizzi Jenni 'Jwoww' Farley Paul 'Pauly D' DelVecchio Comedy Drama Reality-TV Romance
Britt Allcroft,Mara Wilson,Colm Feore,Peter Fonda,Adventure Comedy Drama Family Fantasy,thomas and the magic railroad,Britt Allcroft Mara Wilson Colm Feore Peter Fonda Adventure Comedy Drama Family Fantasy
Breck Eisner,Radha Mitchell,Glenn Morshower,John Aylward,Horror Thriller,the crazies,Breck Eisner Radha Mitchell Glenn Morshower John Aylward Horror Thriller
Hayao Miyazaki,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,Adventure Animation Family Fantasy,spirited away,Hayao Miyazaki Bunta Sugawara Ryûnosuke Kamiki Miyu Irino Adventure Animation Family Fantasy
Alan Yuen,Andy Lau,Michael Wong,Terence Yin,Action Crime Thriller,firestorm,Alan Yuen Andy Lau Michael Wong Terence Yin Action Crime Thriller
Roger Donaldson,Liam Neeson,Anthony Hopkins,Laurence Olivier,Action Adventure Drama History Romance,the bounty,Roger Donaldson Liam Neeson Anthony Hopkins Laurence Olivier Action Adventure Drama History Romance
Brian Percival,Emily Watson,Sophie Nélisse,Roger Allam,Drama War,the book thief,Brian Percival Emily Watson Sophie Nélisse Roger Allam Drama War
Sean Anders,Katrina Bowden,Michael Cudlitz,Alice Greczyn,Adventure Comedy Romance,sex drive,Sean Anders Katrina Bowden Michael Cudlitz Alice Greczyn Adventure Comedy Romance
Anand Tucker,Adam Scott,Kaitlin Olson,Dominique McElligott,Comedy Romance,leap year,Anand Tucker Adam Scott Kaitlin Olson Dominique McElligott Comedy Romance
Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,Drama History War,the fall of the roman empire,Anthony Mann James Mason Mel Ferrer Stephen Boyd Drama History War
Michael Dowse,Topher Grace,Michael Biehn,Dan Fogler,Comedy Drama Romance,take me home tonight,Michael Dowse Topher Grace Michael Biehn Dan Fogler Comedy Drama Romance
Daniel Barnz,Holly Hunter,Rosie Perez,Dante Brown,Drama,won't back down,Daniel Barnz Holly Hunter Rosie Perez Dante Brown Drama
Emile Ardolino,Darci Kistler,Kyra Nichols,Margaret Tracey,Family Fantasy Music,the nutcracker,Emile Ardolino Darci Kistler Kyra Nichols Margaret Tracey Family Fantasy Music
Robert Altman,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,Crime Drama Music Thriller,kansas city,Robert Altman Steve Buscemi Jennifer Jason Leigh Miranda Richardson Crime Drama Music Thriller
James Schamus,Logan Lerman,Sarah Gadon,Tracy Letts,Drama,indignation,James Schamus Logan Lerman Sarah Gadon Tracy Letts Drama
Andrew Douglas,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,Drama Horror Mystery Thriller,the amityville horror,Andrew Douglas Jimmy Bennett Chloë Grace Moretz Ryan Reynolds Drama Horror Mystery Thriller
Spike Jonze,Nicolas Cage,Meryl Streep,Roger Willie,Comedy Drama,adaptation.,Spike Jonze Nicolas Cage Meryl Streep Roger Willie Comedy Drama
George A. Romero,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,Horror,land of the dead,George A. Romero Tony Nappo Shawn Roberts Pedro Miguel Arce Horror
Danny Pang,Louis Koo,Angelica Lee,Ching Wan Lau,Action,out of inferno,Danny Pang Louis Koo Angelica Lee Ching Wan Lau Action
Terry Gilliam,Johnny Depp,Michael Jeter,Ellen Barkin,Adventure Comedy Drama,fear and loathing in las vegas,Terry Gilliam Johnny Depp Michael Jeter Ellen Barkin Adventure Comedy Drama
Ricky Gervais,Jennifer Garner,Tina Fey,Martin Starr,Comedy Fantasy Romance,the invention of lying,Ricky Gervais Jennifer Garner Tina Fey Martin Starr Comedy Fantasy Romance
Nicholas Stoller,Craig Roberts,Carla Gallo,Ike Barinholtz,Comedy,neighbors,Nicholas Stoller Craig Roberts Carla Gallo Ike Barinholtz Comedy
Chuck Russell,Peter Greene,Amy Yasbeck,Reg E. Cathey,Action Comedy Crime Fantasy,the mask,Chuck Russell Peter Greene Amy Yasbeck Reg E. Cathey Action Comedy Crime Fantasy
Penny Marshall,Tom Hanks,Jon Lovitz,John Heard,Comedy Drama Family Fantasy Romance,big,Penny Marshall Tom Hanks Jon Lovitz John Heard Comedy Drama Family Fantasy Romance
Larry Charles,Luenell,Ken Davitian,Chester,Comedy,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Larry Charles Luenell Ken Davitian Chester Comedy
Robert Luketic,Linda Cardellini,Raquel Welch,Alanna Ubach,Comedy Romance,legally blonde,Robert Luketic Linda Cardellini Raquel Welch Alanna Ubach Comedy Romance
Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi,star trek iii: the search for spock,Leonard Nimoy Leonard Nimoy Nichelle Nichols Walter Koenig Action Adventure Sci-Fi
Scott Derrickson,Tom Wilkinson,Colm Feore,JR Bourne,Drama Horror Thriller,the exorcism of emily rose,Scott Derrickson Tom Wilkinson Colm Feore JR Bourne Drama Horror Thriller
Mike Mitchell,Amy Poehler,Eddie Griffin,Bree Turner,Comedy Romance,deuce bigalow: male gigolo,Mike Mitchell Amy Poehler Eddie Griffin Bree Turner Comedy Romance
Thomas Bezucha,Craig T. Nelson,Paul Schneider,Tyrone Giordano,Comedy Drama Romance,the family stone,Thomas Bezucha Craig T. Nelson Paul Schneider Tyrone Giordano Comedy Drama Romance
Kevin Rodney Sullivan,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,Comedy Drama,barbershop 2: back in business,Kevin Rodney Sullivan Harry Lennix Sean Patrick Thomas Kenan Thompson Comedy Drama
Terry Zwigoff,Bernie Mac,Tony Cox,Alex Borstein,Comedy Crime Drama,bad santa,Terry Zwigoff Bernie Mac Tony Cox Alex Borstein Comedy Crime Drama
Jay Roach,Will Ferrell,Charles Napier,Robert Wagner,Comedy Crime,austin powers: international man of mystery,Jay Roach Will Ferrell Charles Napier Robert Wagner Comedy Crime
Kirk Jones,Nia Vardalos,Louis Mandylor,Joey Fatone,Comedy Family Romance,my big fat greek wedding 2,Kirk Jones Nia Vardalos Louis Mandylor Joey Fatone Comedy Family Romance
David Bowers,Zachary Gordon,Rachael Harris,Fran Kranz,Comedy Family,diary of a wimpy kid: rodrick rules,David Bowers Zachary Gordon Rachael Harris Fran Kranz Comedy Family
John McTiernan,Shane Black,Bill Duke,Carl Weathers,Action Horror Sci-Fi,predator,John McTiernan Shane Black Bill Duke Carl Weathers Action Horror Sci-Fi
Milos Forman,Jeffrey Jones,F. Murray Abraham,Tom Hulce,Biography Drama History Music,amadeus,Milos Forman Jeffrey Jones F. Murray Abraham Tom Hulce Biography Drama History Music
Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,Horror Mystery,prom night,Nelson McCormick Ming-Na Wen Scott Porter Collins Pennie Horror Mystery
Mark Waters,Tina Fey,Amy Poehler,Neil Flynn,Comedy,mean girls,Mark Waters Tina Fey Amy Poehler Neil Flynn Comedy
Audrey Wells,Raoul Bova,Lindsay Duncan,Mario Monicelli,Comedy Drama Romance,under the tuscan sun,Audrey Wells Raoul Bova Lindsay Duncan Mario Monicelli Comedy Drama Romance
Robert Altman,Kristin Scott Thomas,Bob Balaban,Tom Hollander,Drama Mystery,gosford park,Robert Altman Kristin Scott Thomas Bob Balaban Tom Hollander Drama Mystery
Unknown,Peter Gallagher,Melinda Clarke,Tate Donovan,Comedy Drama Romance,the o.c.            ,Unknown Peter Gallagher Melinda Clarke Tate Donovan Comedy Drama Romance
Francis Ford Coppola,Nicolas Cage,Kathleen Turner,Joan Allen,Comedy Drama Fantasy Romance,peggy sue got married,Francis Ford Coppola Nicolas Cage Kathleen Turner Joan Allen Comedy Drama Fantasy Romance
Alejandro G. Iñárritu,Emma Stone,Naomi Watts,Merritt Wever,Comedy Drama Romance,birdman or (the unexpected virtue of ignorance),Alejandro G. Iñárritu Emma Stone Naomi Watts Merritt Wever Comedy Drama Romance
Woody Allen,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Drama,blue jasmine,Woody Allen Sally Hawkins Charlie Tahan Andrew Dice Clay Drama
Paul Greengrass,Christian Clemenson,David Alan Basche,Susan Blommaert,Drama History Thriller,united 93,Paul Greengrass Christian Clemenson David Alan Basche Susan Blommaert Drama History Thriller
Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,Drama Music Romance,honey,Bille Woodruff Christian Monzon Mekhi Phifer Romeo Miller Drama Music Romance
Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,Drama History War,glory,Edward Zwick Denzel Washington Morgan Freeman Matthew Broderick Drama History War
Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,Action Comedy,spy hard,Rick Friedberg Hulk Hogan Barry Bostwick Nicollette Sheridan Action Comedy
Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,Biography Drama Family Sport,soul surfer,Sean McNamara Dennis Quaid Chris Brochu Craig T. Nelson Biography Drama Family Sport
Mike Nichols,Bob Newhart,Bob Balaban,Martin Balsam,Comedy Drama War,catch-22,Mike Nichols Bob Newhart Bob Balaban Martin Balsam Comedy Drama War
Jody Hill,Collette Wolfe,Celia Weston,Dan Bakkedahl,Comedy Crime Drama,observe and report,Jody Hill Collette Wolfe Celia Weston Dan Bakkedahl Comedy Crime Drama
Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,Action Adventure Fantasy,conan the destroyer,Richard Fleischer Mako Olivia d'Abo Grace Jones Action Adventure Fantasy
Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent,Biography Drama Sport,raging bull,Martin Scorsese Robert De Niro Cathy Moriarty Frank Vincent Biography Drama Sport
Brandon Camp,Judy Greer,Sasha Alexander,Frances Conroy,Drama Romance,love happens,Brandon Camp Judy Greer Sasha Alexander Frances Conroy Drama Romance
Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Adventure Fantasy Mystery Thriller,young sherlock holmes,Barry Levinson Nicholas Rowe Roger Ashton-Griffiths Freddie Jones Adventure Fantasy Mystery Thriller
Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,Comedy Drama Musical Romance,fame,Kevin Tancharoen Kelsey Grammer Kay Panabaker Megan Mullally Comedy Drama Musical Romance
Danny Boyle,James Franco,Treat Williams,Kate Burton,Adventure Biography Drama Thriller,127 hours,Danny Boyle James Franco Treat Williams Kate Burton Adventure Biography Drama Thriller
Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,Comedy Crime,small time crooks,Woody Allen Woody Allen Jon Lovitz Michael Rapaport Comedy Crime
Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,Drama Music Romance,center stage,Nicholas Hytner Amanda Schull Susan May Pratt Ethan Stiefel Drama Music Romance
